,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
101,bluff,0,AU,62,-23.58,149.07,12.08,3.8
102,los llanos de aridane,20,ES,63,28.66,-17.92,18.0,3.1
103,tornio,0,FI,79,61.12,27.27,0.0,2.6
104,butaritari,68,KI,100,3.07,172.79,28.08,6.9
105,pangnirtung,75,CA,65,66.15,-65.72,-13.0,1.0
106,igarka,88,RU,91,67.47,86.57,-1.72,6.95
107,tasiilaq,68,GL,79,65.61,-37.64,-5.0,11.8
108,oranjestad,20,AW,66,12.52,-70.03,30.0,10.3
109,cherskiy,0,RU,59,68.75,161.3,-18.82,1.1
110,dingle,0,PH,74,11.0,122.67,22.88,5.6
111,saldanha,80,PT,56,41.42,-6.55,13.18,1.75
112,alekseyevsk,12,RU,74,57.84,108.35,-9.62,1.75
113,tarnogskiy gorodok,92,RU,97,60.5,43.58,-0.32,4.85
114,kahului,40,US,57,20.89,-156.47,27.0,4.1
115,tuktoyaktuk,90,CA,92,69.44,-133.03,-4.0,9.8
116,shiyan,44,CN,79,32.65,110.78,1.88,0.7
117,beloha,0,MG,86,-25.17,45.06,18.33,1.95
118,tiksi,8,RU,79,71.64,128.87,-8.47,2.6
119,lorengau,92,PG,99,-2.02,147.27,28.08,4.65
120,saint-augustin,0,FR,54,44.83,-0.61,12.0,1.0
121,praia,40,BR,47,-20.25,-43.81,27.0,1.5
122,ponta do sol,0,BR,53,-20.63,-46.0,25.18,1.3
123,la ronge,20,CA,53,55.1,-105.3,0.0,7.2
124,faanui,36,PF,100,-16.48,-151.75,28.68,2.65
125,henties bay,76,NA,83,-22.12,14.28,17.78,2.68
126,kuito,0,AO,59,-12.38,16.94,16.88,1.3
127,lebu,75,ET,55,8.96,38.73,17.0,2.1
128,ouro preto do oeste,12,BR,73,-10.75,-62.22,29.18,1.05
129,ngunguru,92,NZ,96,-35.62,174.5,20.56,8.05
130,terrace,20,CA,40,54.52,-128.61,11.0,2.6
131,provideniya,64,RU,100,64.42,-173.23,-2.42,3.85
132,hegra,40,NO,79,63.46,11.11,0.0,9.3
133,lavrentiya,48,RU,100,65.58,-170.99,-2.82,1.4
134,maniitsoq,76,GL,88,65.42,-52.9,-5.77,5.8
135,petropavlovsk-kamchatskiy,36,RU,79,53.05,158.65,-7.0,2.0
136,nyurba,20,RU,77,63.29,118.35,-8.07,1.45
137,karasjok,75,NO,68,69.47,25.52,-2.0,20.1
138,palana,8,RU,70,59.08,159.95,-1.87,1.7
139,surt,8,LY,100,31.21,16.59,12.28,3.3
140,kabare,76,RW,100,-1.65,29.38,15.68,1.5
141,ippy,8,CF,51,6.26,21.2,27.18,2.9
142,bonoua,0,CI,83,5.27,-3.6,29.0,3.1
143,carnarvon,8,ZA,27,-30.97,22.13,18.03,5.45
144,hokitika,80,NZ,100,-42.72,170.96,16.58,7.6
145,ahipara,92,NZ,95,-35.17,173.16,21.03,5.45
146,bua yai,24,TH,93,15.59,102.43,22.33,1.5
147,mana,0,RS,71,43.52,20.24,6.0,0.5
148,port lincoln,36,AU,100,-34.72,135.86,12.93,0.95
149,izumo,75,JP,80,35.37,132.75,6.0,3.1
150,conakry,0,GN,100,9.52,-13.7,27.53,3.1
151,hasaki,20,JP,100,35.73,140.83,2.0,0.5
152,barrow,48,AR,34,-38.31,-60.23,27.93,3.2
153,launceston,0,AU,86,-41.43,147.14,5.56,3.1
154,tuatapere,24,NZ,73,-46.13,167.69,12.78,4.47
155,la rioja,8,AR,72,-29.41,-66.86,26.03,1.75
156,coria,76,ES,80,39.98,-6.54,10.48,2.5
157,victoria,75,BN,74,5.28,115.24,27.0,2.1
158,campbell river,20,CA,41,50.02,-125.24,16.11,1.0
159,areosa,0,PT,76,41.72,-8.86,17.78,2.6
160,thompson,90,CA,50,55.74,-97.86,-2.0,6.7
161,barra patuca,8,HN,84,15.8,-84.28,27.43,5.25
162,kushima,20,JP,60,31.5,131.29,6.0,3.6
163,liwale,48,TZ,88,-9.8,37.92,22.03,1.05
164,turan,0,RU,71,52.15,93.92,-9.57,0.85
165,lata,20,IN,57,30.78,78.62,6.53,1.15
166,kaitangata,0,NZ,48,-46.28,169.85,17.78,4.92
167,saint anthony,20,US,29,43.97,-111.68,11.11,5.7
168,flinders,75,AU,82,-34.58,150.85,18.33,2.6
169,alexandria,1,US,46,31.31,-92.44,12.22,5.1
170,algiers,75,US,66,29.94,-90.04,11.67,4.6
171,goderich,80,CA,83,43.74,-81.71,-3.33,8.94
172,morondava,0,MG,91,-20.3,44.28,24.93,2.75
173,elko,1,US,29,40.83,-115.76,11.67,1.5
174,porto novo,20,BR,73,-23.68,-45.44,23.0,6.7
175,payo,88,ID,97,-3.75,103.64,21.93,0.65
176,orlik,36,RU,68,52.51,99.83,-15.07,0.85
177,toktogul,12,KG,82,41.87,72.95,-6.42,0.4
178,dikson,88,RU,93,73.51,80.55,-2.07,11.1
179,vallenar,0,CL,69,-28.58,-70.76,19.53,1.3
180,isangel,76,VU,100,-19.55,169.27,25.88,4.9
181,lalsk,92,RU,95,60.74,47.59,-0.82,2.7
182,saint-pierre,0,FR,32,48.95,4.24,12.22,2.6
183,sept-iles,90,CA,93,50.2,-66.38,4.0,7.7
184,xinpu,75,TW,87,24.83,121.07,20.56,8.7
185,okha,68,RU,86,53.59,142.95,-10.22,5.3
186,yulara,0,AU,62,-25.24,130.99,13.0,3.1
187,mentakab,76,MY,97,3.49,102.35,22.43,1.05
188,berlevag,40,NO,85,70.86,29.09,-2.0,14.4
189,usogorsk,44,RU,81,63.43,48.71,-6.12,1.2
190,kavieng,68,PG,100,-2.57,150.8,27.83,4.0
191,chulym,56,RU,88,55.09,80.97,-2.02,6.45
192,comodoro rivadavia,0,AR,26,-45.87,-67.48,28.0,5.7
193,santa rosa,75,AR,83,-36.62,-64.29,24.0,6.2
194,luanda,75,AO,88,-8.83,13.24,27.0,3.1
195,siddipet,44,IN,66,18.1,78.85,22.43,4.8
196,coahuayana,0,MX,18,18.62,-100.35,31.68,1.35
197,ust-maya,0,RU,60,60.42,134.54,-17.22,1.45
198,nara,75,JP,75,34.68,135.8,8.0,4.1
199,cap malheureux,40,MU,88,-19.98,57.61,24.0,3.1
200,klyuchi,36,RU,55,52.25,79.17,3.53,4.0
201,tezu,92,IN,99,27.93,96.16,12.68,0.6
202,nadym,44,RU,86,65.53,72.51,-3.32,4.3
203,zholymbet,0,KZ,84,51.74,71.71,-4.17,1.75
204,clyde river,90,CA,84,70.47,-68.59,-16.0,4.1
205,cooma,0,AU,80,-36.24,149.13,1.93,1.1
206,nome,75,US,54,30.04,-94.42,12.78,6.2
207,arroyo,90,US,63,41.39,-78.88,-1.11,5.7
208,dickinson,90,US,52,46.88,-102.79,6.11,6.2
209,kyela,76,MW,88,-9.6,33.87,19.88,0.5
210,hithadhoo,0,MV,100,-0.6,73.08,28.43,2.2
211,nanortalik,20,GL,100,60.14,-45.24,-2.67,11.7
212,vilyuysk,12,RU,66,63.75,121.63,-12.07,1.65
213,jumla,0,NP,86,29.28,82.18,-4.92,0.8
214,caravelas,0,BR,100,-17.73,-39.27,27.28,7.3
215,caluquembe,12,AO,94,-13.78,14.68,16.78,0.4
216,ternate,20,PH,69,14.29,120.72,27.0,3.1
217,namibe,0,AO,99,-15.19,12.15,25.88,3.1
218,mercedes,80,UY,74,-33.25,-58.03,25.78,1.8
219,teguise,20,ES,77,29.06,-13.56,18.0,4.6
220,bereda,0,ES,87,43.27,-7.54,13.33,1.0
221,okhotsk,0,RU,84,59.36,143.24,-7.62,3.2
222,cabo san lucas,5,MX,47,22.89,-109.91,29.44,5.1
223,gizo,40,IL,81,31.8,34.94,12.0,3.1
224,pennathur,0,IN,73,12.25,79.22,21.13,1.35
225,glyadyanskoye,0,RU,84,54.91,65.09,-2.37,4.4
226,piney green,1,US,59,35.09,-78.48,20.0,4.1
227,sioux lookout,20,CA,37,50.1,-91.92,1.0,5.1
228,grand-santi,88,GF,58,4.27,-54.38,30.43,1.4
229,patiya,40,BD,88,22.3,91.98,20.0,3.1
230,longyearbyen,40,NO,65,78.22,15.63,-15.0,2.1
231,saurimo,36,AO,82,-9.66,20.4,20.78,1.85
232,reconquista,48,AR,75,-29.14,-59.64,27.43,5.35
233,soyo,24,AO,92,-6.13,12.37,27.03,2.3
234,tashla,0,RU,86,53.71,49.75,4.0,8.0
235,katsuura,75,JP,93,33.93,134.5,7.22,1.5
236,port hedland,0,AU,73,-20.31,118.58,24.0,2.1
237,tonantins,20,BR,75,-2.86,-67.77,30.53,0.95
238,sterling,75,US,34,39.0,-77.4,11.67,10.3
239,alakurtti,0,RU,86,66.96,30.34,-7.22,0.89
240,kalagarh,0,IN,64,29.5,78.75,16.08,2.55
241,sao benedito do rio preto,92,BR,95,-3.33,-43.53,23.78,1.6
242,narsaq,0,GL,41,60.91,-46.05,-6.0,3.6
243,olinda,20,EC,62,-2.03,-79.75,32.22,3.6
244,poum,0,MK,65,41.28,20.71,2.03,0.75
245,meulaboh,92,ID,100,4.14,96.13,26.08,0.6
246,lagoa,0,PT,82,37.14,-8.45,16.0,2.1
247,shakhunya,76,RU,93,57.68,46.61,2.43,4.1
248,pagudpud,20,PH,83,18.56,120.79,24.0,1.5
249,anchorage,75,US,60,61.22,-149.89,10.0,1.5
250,riberalta,75,BO,59,-11.0,-66.08,34.0,1.0
251,ust-barguzin,0,RU,55,53.41,109.03,-15.12,1.6
252,talnakh,88,RU,92,69.49,88.39,-2.02,7.2
253,antalaha,64,MG,92,-14.9,50.28,26.03,0.8
254,duku,0,NG,33,11.24,4.91,28.28,3.2
255,northam,0,GB,93,51.04,-4.21,9.0,1.5
256,lasa,20,CY,87,34.92,32.53,11.0,2.1
257,gorin,1,US,41,40.36,-92.02,6.67,4.6
258,port blair,0,IN,100,11.67,92.75,28.58,3.65
259,ancud,90,CL,93,-41.87,-73.83,14.0,3.1
260,nevel,0,RU,69,56.02,29.92,2.18,8.4
261,prince rupert,1,CA,75,54.32,-130.32,8.0,2.1
262,manyana,75,AU,82,-35.26,150.51,18.33,2.6
263,tautira,20,PF,66,-17.73,-149.15,32.0,2.6
264,bilma,0,NE,14,18.69,12.92,20.23,3.2
265,mangai,12,CD,92,-4.07,19.59,25.38,1.05
266,shiojiri,36,JP,88,36.12,137.95,1.11,0.85
267,pangoa,12,PE,82,-12.12,-73.0,24.23,1.15
268,mount gambier,90,AU,93,-37.83,140.78,11.0,0.95
269,gat,0,SN,64,14.69,-16.54,20.0,9.3
270,denpasar,20,ID,88,-8.65,115.22,26.0,2.6
271,gisborne,76,NZ,66,-38.66,178.02,22.78,4.02
272,taoudenni,0,ML,55,22.68,-3.98,17.93,3.0
273,mopti,24,ML,29,14.49,-4.19,33.0,4.1
274,uberlandia,40,BR,73,-18.92,-48.28,22.0,4.1
275,kisangani,20,CD,82,0.52,25.21,26.08,0.75
276,kulachi,0,PK,28,31.93,70.46,12.03,0.9
277,anadyr,90,RU,95,64.73,177.51,1.0,9.0
278,ribeira grande,75,PT,62,38.52,-28.7,14.0,4.1
279,visby,12,SE,74,57.64,18.3,4.44,4.6
280,aksu,0,KZ,100,52.04,76.93,-1.0,2.0
281,xai-xai,0,MZ,100,-25.04,33.64,23.03,4.35
282,yuci,0,CN,42,37.68,112.73,-1.0,1.0
283,roblin,48,CA,100,51.23,-101.35,1.68,5.05
284,tarata,0,PE,53,-17.47,-70.03,23.0,5.7
285,pangody,44,RU,90,65.85,74.49,-2.12,5.55
286,liptovsky hradok,0,SK,74,49.04,19.72,13.0,1.0
287,baijiantan,0,CN,82,45.63,85.18,8.78,1.85
288,luwuk,92,ID,100,-0.95,122.79,23.53,0.4
289,padang,8,ID,100,-0.92,100.36,27.98,0.85
290,linda,1,US,68,39.13,-121.55,22.78,3.6
291,cosamaloapan,88,MX,64,18.36,-95.8,28.33,2.24
292,ayia galini,40,GR,100,35.1,24.68,13.33,1.5
293,clifton,12,AU,93,-27.93,151.91,14.44,3.75
294,itarema,92,BR,92,-2.92,-39.92,26.78,2.2
295,bambous virieux,40,MU,88,-20.34,57.76,24.0,3.1
296,dromolaxia,20,CY,81,34.88,33.59,12.0,1.5
297,pineville,1,US,46,31.32,-92.43,12.22,5.1
298,waingapu,0,ID,99,-9.65,120.26,21.28,1.15
299,birjand,0,IR,28,32.86,59.22,15.0,6.2
300,fort nelson,75,CA,42,58.81,-122.69,8.0,5.7
301,chara,0,GR,66,39.42,22.43,9.0,1.35
302,torbay,40,CA,71,47.66,-52.73,10.0,5.1
303,embrach,0,CH,64,47.51,8.59,13.0,3.1
304,raudeberg,75,NO,86,61.99,5.14,2.22,6.2
305,kaeo,92,NZ,96,-35.1,173.78,20.56,5.35
306,qaqortoq,0,GL,41,60.72,-46.03,-6.0,3.6
307,rio tercero,92,AR,98,-32.17,-64.11,20.48,3.4
308,fairbanks,1,US,65,64.84,-147.72,10.0,2.15
309,nemuro,12,JP,100,43.32,145.57,-1.62,3.65
310,carroll,0,AU,81,-30.99,150.44,10.0,3.1
311,acajutla,8,SV,76,13.59,-89.83,27.78,1.34
312,pozo colorado,56,PY,55,-23.49,-58.8,33.18,4.0
313,yenangyaung,8,MM,92,20.46,94.87,21.13,1.6
314,rosita,0,NI,58,13.92,-84.4,29.53,1.3
315,college,1,US,52,64.86,-147.8,10.0,2.15
316,glendive,1,US,45,47.11,-104.71,7.0,5.7
317,mandalay,0,MM,59,21.98,96.08,21.43,2.5
318,ndjole,44,GA,86,-0.18,10.76,26.88,1.4
319,houma,0,CN,57,35.63,111.36,-2.22,0.85
320,samarai,92,PG,100,-10.62,150.67,25.08,4.1
321,souillac,0,FR,44,45.6,-0.6,16.0,2.6
322,guerrero negro,0,MX,26,27.97,-114.04,28.68,3.8
323,cody,1,US,27,44.53,-109.06,13.0,5.1
324,sola,0,FI,68,62.78,29.36,-1.11,3.1
325,kamenka,0,RU,89,53.19,44.05,1.98,6.15
326,panaba,64,MX,40,21.28,-88.27,32.33,3.4
327,miandrivazo,0,MG,84,-19.53,45.46,20.43,1.4
328,ocean city,90,US,87,30.44,-86.61,11.67,3.1
329,price,1,US,25,39.6,-110.81,11.67,1.35
330,christchurch,48,NZ,56,-43.53,172.64,22.78,8.2
331,fortuna,75,ES,93,38.18,-1.13,14.0,4.1
332,chimore,44,BO,87,-16.98,-65.13,27.43,0.5
333,rafai,20,CF,74,4.95,23.92,24.58,1.5
334,itoman,75,JP,59,26.12,127.67,17.0,6.7
335,alto piquiri,32,BR,68,-24.02,-53.44,28.73,1.25
336,veraval,0,FR,71,49.65,0.71,12.22,6.7
337,zhezkazgan,88,KZ,91,47.8,67.71,5.98,7.25
338,ilulissat,48,GL,67,69.22,-51.1,-8.0,3.6
339,portland,75,US,36,45.52,-122.67,20.56,1.5
340,kastamonu,20,TR,80,41.38,33.78,-5.52,1.05
341,borazjan,90,IR,50,29.27,51.21,24.0,5.1
342,flin flon,75,CA,60,54.77,-101.88,0.0,5.1
343,carbondale,1,US,36,38.82,-95.69,9.44,2.0
344,saint-joseph,0,FR,70,43.56,6.97,12.78,2.1
345,luderitz,0,NA,78,-26.65,15.16,17.03,7.95
346,iralaya,40,HN,62,15.0,-83.23,30.0,5.1
347,shemonaikha,20,KZ,77,50.63,81.92,0.28,1.45
348,grindavik,75,IS,80,63.84,-22.43,1.11,7.2
349,kruisfontein,68,ZA,89,-34.0,24.73,15.38,3.3
350,hambantota,0,LK,100,6.12,81.12,27.28,3.2
351,lingao,32,CN,96,19.91,109.69,23.78,3.3
352,lahat,88,ID,97,-3.78,103.55,21.93,0.65
353,betsiamites,90,CA,100,48.94,-68.65,5.0,2.6
354,ronneby,0,SE,59,56.21,15.28,2.0,1.5
355,verkhnevilyuysk,20,RU,70,63.45,120.31,-10.37,1.2
356,yar-sale,8,RU,76,66.83,70.83,-6.47,5.65
357,dubbo,0,AU,84,-32.25,148.6,5.38,1.5
358,mayor pablo lagerenza,68,PY,38,-19.93,-60.77,36.08,6.7
359,corrales,88,CO,84,5.83,-72.84,15.08,1.0
360,waiouru,64,NZ,69,-39.48,175.67,18.08,7.3
361,peniche,20,PT,62,39.36,-9.38,15.0,2.1
362,banikoara,20,BJ,62,11.3,2.44,30.08,1.45
363,badou,12,TG,78,7.58,0.61,26.58,1.7
364,adrar,0,DZ,17,27.87,-0.29,24.0,5.1
365,plettenberg bay,92,ZA,100,-34.05,23.37,18.73,8.6
366,puro,0,PH,91,13.13,123.76,20.88,2.1
367,tshela,8,CD,92,-4.99,12.94,24.38,1.15
368,huarmey,20,PE,59,-10.07,-78.15,25.03,1.95
369,vardo,40,US,39,39.62,-77.74,10.0,8.2
370,diamantino,8,BR,76,-14.4,-56.44,29.83,0.95
371,ambon,12,FR,71,47.55,-2.56,13.0,4.1
372,cabinda,48,AO,99,-5.56,12.19,28.78,4.45
373,acapulco,5,MX,65,16.86,-99.88,28.0,3.1
374,kirakira,12,SB,99,-10.46,161.92,28.98,2.1
375,tutoia,75,BR,69,-2.76,-42.27,28.0,2.6
376,novyy urengoy,80,RU,90,66.08,76.63,-1.67,5.95
377,ambulu,44,ID,100,-8.35,113.61,25.43,1.4
378,pala,40,IN,83,9.71,76.68,28.0,1.05
379,sao joao da barra,40,BR,65,-21.64,-41.05,26.0,5.1
380,altay,0,CN,64,47.83,88.13,-8.42,1.0
381,kargasok,76,RU,83,59.06,80.87,-0.32,3.7
382,sisimiut,68,GL,97,66.94,-53.67,-8.57,0.9
383,kampot,40,KH,94,10.62,104.18,26.0,1.0
384,tabou,32,CI,97,4.42,-7.36,29.53,3.75
385,crib point,64,AU,79,-38.35,145.2,13.89,2.3
386,aksarka,0,RU,78,66.56,67.8,-7.72,5.85
387,tocopilla,0,CL,88,-22.09,-70.2,20.58,4.2
388,kalabo,0,ZM,36,-15.0,22.67,21.88,3.2
389,daru,32,SL,67,7.99,-10.85,27.78,2.85
390,bilibino,0,RU,61,68.06,166.44,-17.57,1.0
391,dunedin,0,NZ,53,-45.87,170.5,16.18,7.6
392,sinegorye,44,RU,56,62.09,150.53,-19.67,0.9
393,fayetteville,1,US,36,36.06,-94.16,11.67,4.6
394,macusani,88,PE,100,-14.07,-70.43,13.88,1.15
395,chapais,90,CA,68,49.78,-74.86,-3.0,6.7
396,marfino,0,RU,75,56.07,37.56,9.0,6.0
397,san pietro vernotico,0,IT,81,40.49,18.0,14.44,3.6
398,hobyo,100,SO,79,5.35,48.53,27.18,4.65
399,nova vicosa,0,BR,76,-17.89,-39.37,26.23,5.2
400,port moresby,40,PG,94,-9.47,147.16,25.0,3.2
401,hellin,75,ES,87,38.51,-1.7,10.0,5.7
402,gazojak,8,TM,84,41.19,61.4,0.13,1.75
403,camacupa,0,AO,64,-12.02,17.48,17.08,1.1
404,port macquarie,0,AU,81,-31.43,152.91,13.89,2.6
405,dzilam gonzalez,92,MX,42,21.28,-88.93,32.58,1.95
406,santa cruz,1,US,46,36.97,-122.03,25.0,2.6
407,adelanto,1,US,14,34.58,-117.41,31.0,3.75
408,ballina,80,IE,86,54.11,-9.15,7.78,0.89
409,udachnyy,44,RU,79,66.42,112.4,-4.12,2.6
410,shenjiamen,0,CN,90,29.96,122.3,9.88,2.2
411,hofn,92,IS,100,64.25,-15.21,4.68,11.25
412,bad laasphe,40,DE,65,50.93,8.41,7.78,2.1
413,nelson bay,20,AU,81,-32.72,152.14,15.56,3.6
414,santiago del estero,36,AR,89,-27.8,-64.26,26.28,0.7
415,imbituba,75,BR,78,-28.24,-48.67,24.0,3.6
416,mopipi,48,BW,39,-21.2,24.86,25.28,2.2
417,nhulunbuy,40,AU,100,-12.18,136.78,24.0,2.6
418,betare oya,0,CM,80,5.6,14.08,23.03,1.15
419,santa maria,20,BR,66,-29.69,-53.81,29.0,3.1
420,half moon bay,40,US,68,37.46,-122.43,25.0,2.6
421,aguimes,20,ES,68,27.91,-15.45,18.0,3.1
422,vestmannaeyjar,88,IS,100,63.44,-20.27,2.58,3.2
423,zhangjiakou,0,CN,65,40.77,114.88,-9.97,1.25
424,atar,0,MR,58,20.52,-13.05,15.03,2.0
425,buala,92,SB,100,-8.15,159.59,24.48,1.15
426,poli,0,CM,65,8.48,13.24,22.88,0.2
427,norrkoping,0,SE,44,58.59,16.18,2.0,3.6
428,kjollefjord,40,NO,74,70.95,27.35,-2.0,9.3
429,tarakan,64,ID,100,3.3,117.63,25.13,1.65
430,njombe,92,TZ,91,-9.34,34.77,18.78,1.35
431,hovd,40,NO,84,63.83,10.7,2.78,9.3
432,thinadhoo,8,MV,100,0.53,72.93,28.48,1.3
433,gudari,0,IN,90,19.34,83.79,19.08,1.05
434,slave lake,20,CA,42,55.28,-114.77,7.0,1.5
435,kushiro,0,JP,72,43.11,144.15,-11.07,1.5
436,guisa,75,CU,54,20.25,-76.54,28.0,6.2
437,hami,64,CN,55,42.84,93.51,6.58,1.5
438,trujillo,40,PE,83,-8.11,-79.03,22.0,5.1
439,waslala,0,NI,54,13.33,-85.37,28.38,1.6
440,ponta delgada,40,PT,76,37.73,-25.67,13.0,8.2
441,matagami,0,NG,32,9.67,8.4,24.88,2.75
442,vanimo,80,PG,100,-2.67,141.3,28.08,6.15
443,alugan,0,PH,100,12.22,125.48,22.03,3.75
444,orje,0,NO,47,59.48,11.66,2.22,3.6
445,maningrida,68,AU,87,-12.05,134.23,26.58,5.6
446,kozhevnikovo,8,RU,91,56.26,83.98,1.11,3.58
447,mabaruma,0,GY,70,8.2,-59.78,28.53,4.65
